midx,long_ret,short_ret,gross_ret,long_cost,short_cost,net_ret
23765,0.03215248474455658,0.02425895731052668,0.0078935274340299,6.507599294352755e-4,6.275007638976407e-4,0.0041152667406969875
23766,0.07934752353804388,0.06678505813578851,0.012562465402255363,6.507599294352755e-4,6.275007638976407e-4,0.00878420470892244
23767,0.006146315920946034,-0.00846004536115881,0.014606361282104845,6.507599294352755e-4,6.275007638976407e-4,0.010828100588771929
23768,0.031923566210822645,-0.017728301148493116,0.04965186735931576,6.507599294352755e-4,6.275007638976407e-4,0.04587360666598285
23769,-0.025888508011625316,-0.01844072772616847,-0.007447780285456847,6.507599294352755e-4,6.275007638976407e-4,-0.011226040978789762
23770,0.06349299858644267,-0.05058453432796542,0.11407753291440809,6.507599294352755e-4,6.275007638976407e-4,0.11029927222107516
23771,0.06159789855580063,0.04955022756415059,0.012047670991650043,6.507599294352755e-4,6.275007638976407e-4,0.008269410298317128
23772,0.032123972590004435,0.017893388355016703,0.014230584234987732,6.507599294352755e-4,6.275007638976407e-4,0.01045232354165482
23773,0.016036882130730797,0.015279622841506947,7.572592892238494e-4,6.507599294352755e-4,6.275007638976407e-4,-0.003021001404109066
23774,0.022962453191976335,0.06235833681673917,-0.03939588362476283,6.507599294352755e-4,6.275007638976407e-4,-0.04317414431809575
23775,-0.017734023233531113,0.014728533285210881,-0.032462556518742,6.507599294352755e-4,6.275007638976407e-4,-0.036240817212074915
23776,0.027108235762676302,0.01532535132846276,0.011782884434213542,6.507599294352755e-4,6.275007638976407e-4,0.008004623740880625
23777,-0.010880618894560878,0.03833722609010103,-0.04921784498466191,6.507599294352755e-4,6.275007638976407e-4,-0.05299610567799483
23778,-0.06908376304438056,-0.011564037425065898,-0.05751972561931466,6.507599294352755e-4,6.275007638976407e-4,-0.06129798631264759
23779,-0.0825532129925801,-0.02982545523348863,-0.05272775775909147,6.507599294352755e-4,6.275007638976407e-4,-0.056506018452424395
23780,-0.0479909254408875,-0.02842513600200162,-0.019565789438885876,6.507599294352755e-4,6.275007638976407e-4,-0.023344050132218786
23781,0.064157467422771,0.026458789812656265,0.03769867761011473,6.507599294352755e-4,6.275007638976407e-4,0.03392041691678181
23782,0.04557277869094353,0.03283992110065307,0.012732857590290463,6.507599294352755e-4,6.275007638976407e-4,0.008954596896957547
23783,-0.013756642739363131,0.026599203788930936,-0.04035584652829407,6.507599294352755e-4,6.275007638976407e-4,-0.044134107221626986
23784,0.009029785315752412,-0.0023364772293444475,0.01136626254509686,6.507599294352755e-4,6.275007638976407e-4,0.007588001851763943
23785,0.0112132791905202,-0.05639755358869252,0.06761083277921272,6.507599294352755e-4,6.275007638976407e-4,0.06383257208587981
23786,0.03902362438177127,0.006218308408264269,0.032805315973507,6.507599294352755e-4,6.275007638976407e-4,0.029027055280174085
23787,0.028314844744956026,0.028423751130443892,-1.0890638548786621e-4,6.507599294352755e-4,6.275007638976407e-4,-0.0038871670788207815
23788,-0.010651392235748625,-0.023780978648801875,0.01312958641305325,6.507599294352755e-4,6.275007638976407e-4,0.009351325719720334
23789,-0.01652030110856282,-0.023276603663029083,0.006756302554466263,6.507599294352755e-4,6.275007638976407e-4,0.002978041861133348
23790,-0.008176815155092812,-0.0018337704305573799,-0.0063430447245354325,6.507599294352755e-4,6.275007638976407e-4,-0.01012130541786835
23791,0.10151247617611796,0.13753765165881507,-0.03602517548269711,6.507599294352755e-4,6.275007638976407e-4,-0.039803436176030035
23792,0.05042795862243808,0.00333380626624748,0.047094152356190605,6.507599294352755e-4,6.275007638976407e-4,0.04331589166285769
23793,0.08137344025984473,0.07932765948338492,0.00204578077645981,6.507599294352755e-4,6.275007638976407e-4,-0.001732479916873112
23794,0.03460081886482107,0.055590953613355656,-0.02099013474853459,6.507599294352755e-4,6.275007638976407e-4,-0.024768395441867503
23795,0.02506535087728305,0.0047082358190646085,0.02035711505821844,6.507599294352755e-4,6.275007638976407e-4,0.016578854364885525
23796,0.01351245851335059,0.029631134408781623,-0.016118675895431034,6.507599294352755e-4,6.275007638976407e-4,-0.019896936588763948
23797,0.022863322832168922,0.04985933786303767,-0.02699601503086875,6.507599294352755e-4,6.275007638976407e-4,-0.030774275724201668
23798,0.0692690410330176,0.03530465542223185,0.033964385610785755,6.507599294352755e-4,6.275007638976407e-4,0.030186124917452834
23799,0.040381398996538455,0.07983433981058674,-0.039452940814048286,6.507599294352755e-4,6.275007638976407e-4,-0.0432312015073812
23800,0.03550083471668904,0.020973014383466358,0.014527820333222686,6.507599294352755e-4,6.275007638976407e-4,0.010749559639889774
23801,-0.0016753510444161483,-0.010550242773265037,0.008874891728848889,6.507599294352755e-4,6.275007638976407e-4,0.005096631035515971
23802,-0.05196777418073595,0.0029577175790102177,-0.05492549175974617,6.507599294352755e-4,6.275007638976407e-4,-0.05870375245307908
23803,0.006126167028907004,0.0027062518916429828,0.003419915137264021,6.507599294352755e-4,6.275007638976407e-4,-3.5834555606889485e-4
23804,0.004059868944375449,0.052745068725241824,-0.04868519978086638,6.507599294352755e-4,6.275007638976407e-4,-0.052463460474199294
23805,-0.028837911171605113,0.03639664803535246,-0.06523455920695757,6.507599294352755e-4,6.275007638976407e-4,-0.0690128199002905
23806,0.051955776673759294,-0.01211539239729783,0.06407116907105712,6.507599294352755e-4,6.275007638976407e-4,0.060292908377724205
23807,0.01274353466855766,-0.025478299927638327,0.038221834596195985,6.507599294352755e-4,6.275007638976407e-4,0.03444357390286307
23808,-6.495033120105878e-4,-0.03426382556510267,0.033614322253092084,6.507599294352755e-4,6.275007638976407e-4,0.029836061559759163
