midx,mom_tercile,max_tercile,ew_ret,n
23698,2,2,-0.012783801247813602,8
23698,2,3,-0.05114245422034619,10
23698,3,1,-0.06505504091102413,11
23698,3,2,-0.038336985585503726,10
23698,3,3,-0.0175564075937771,6
23699,1,1,-0.08728662818057298,1
23699,1,2,-0.025574614017377865,11
23699,1,3,-0.02182327176772471,16
23699,2,1,-0.01681010958585009,9
23699,2,2,-0.05218595472794059,9
23699,2,3,-0.07697681980844985,10
23699,3,1,-0.013067590438522219,18
23699,3,2,0.01330346696582374,8
23699,3,3,-0.047826015696505575,1
23700,1,1,0.3340780281136429,4
23700,1,2,0.29152147213879664,9
23700,1,3,0.2541045618918646,15
23700,2,1,0.23206865022051074,8
23700,2,2,0.13081406514628782,12
23700,2,3,0.10942932241153969,8
23700,3,1,0.12345160160511608,16
23700,3,2,0.06738193752858126,7
23700,3,3,0.15242633033958852,4
23701,1,1,0.007860582199003374,4
23701,1,2,0.08805160957499364,9
23701,1,3,0.05574537927763892,15
23701,2,1,0.10363686295767713,10
23701,2,2,0.04514888312146374,12
23701,2,3,0.09798821193884427,6
23701,3,1,0.02870191352556771,14
23701,3,2,0.05209732912910762,7
23701,3,3,0.14073131153753615,6
23702,1,1,-0.010225799823499545,3
23702,1,2,0.0037621641907203407,6
23702,1,3,0.13732654658842217,19
23702,2,1,0.025410101469308156,9
23702,2,2,0.04934488699579524,14
23702,2,3,0.09215283802972815,5
23702,3,1,0.02070014632868335,16
23702,3,2,0.027745515044964877,8
23702,3,3,0.11668757401820022,3
23703,1,1,0.036167888273796446,7
23703,1,2,0.07277238452442976,8
23703,1,3,0.03170265188753047,13
23703,2,1,0.022387255632781062,10
23703,2,2,0.030003732084348957,8
23703,2,3,0.06037398553206404,10
23703,3,1,0.021806717972674132,11
23703,3,2,0.039530783816398185,12
23703,3,3,0.15400775214446505,4
23704,1,1,0.09329043931454409,5
23704,1,2,0.03347842115490039,11
23704,1,3,0.07296192910763552,12
23704,2,1,0.057358254960508566,9
23704,2,2,0.03842158931159171,10
23704,2,3,0.06314229615178399,9
23704,3,1,0.05234841450263263,14
23704,3,2,0.05939377385416145,7
23704,3,3,0.22311347192639594,6
23705,1,1,0.07710009524534707,7
23705,1,2,0.04604596076279458,11
23705,1,3,0.030492847612725204,10
23705,2,1,0.06816838866891219,13
23705,2,2,0.049430447064377145,8
23705,2,3,0.02159370528004616,7
23705,3,1,0.10487158650087884,8
23705,3,2,0.060172539645725914,9
23705,3,3,0.04949413261065233,10
23706,1,1,-0.07667565887347112,8
23706,1,2,-0.07331909074134148,9
23706,1,3,-0.07412219403399394,11
23706,2,1,-0.0368043876102916,13
23706,2,2,-0.08915178126526035,8
23706,2,3,-0.048068590074757576,7
23706,3,1,-0.03928905462502662,7
23706,3,2,-0.05253476995537942,11
23706,3,3,-0.050197149644508915,9
23707,1,1,-0.04783346962940309,11
23707,1,2,-0.029329146657604305,8
23707,1,3,-0.0651162836550169,9
23707,2,1,-0.028280592731619616,11
23707,2,2,-0.02050700386744263,12
23707,2,3,-0.055770571867133766,5
23707,3,1,-0.027560026751049273,6
23707,3,2,-0.027192733080178805,8
23707,3,3,-0.012711008424216463,13
23708,1,1,-0.01782411690353077,10
