asset,date,n_bars,log_ret,R_last,R_tercile_lag1_last,frac_bars_top_tercile_R,trailing_realised_vol_last,vol_tercile_lag1_last,exposure_benchmark_mean,ret_net_benchmark,exposure_overlay_w0.00_mean,ret_net_overlay_w0.00,exposure_volsizing_w0.00_mean,ret_net_volsizing_w0.00
SOL,2023-07-11,24,0.03596514869351498,4.893507897429486e-9,1,0,0.009784485109322255,1,1,0.03596514869351498,1,0.03596514869351498,1,0.03596514869351498
SOL,2023-07-12,24,-0.006360766561809969,4.758377526045937e-9,1,0,0.009701172787675726,1,1,-0.006360766561809969,1,-0.006360766561809969,1,-0.006360766561809969
SOL,2023-07-13,24,0.1697850831743976,5.165141335774032e-9,1,0,0.010367168546032094,2,1,0.1697850831743976,1,0.1697850831743976,1,0.1697850831743976
SOL,2023-07-14,24,0.02694148910038737,5.749144885476016e-9,1,0,0.011286645637302266,2,1,0.02694148910038737,1,0.02694148910038737,1,0.02694148910038737
SOL,2023-07-15,24,0.026234647012298717,5.7759276672379915e-9,1,0,0.0114034085719791,2,1,0.026234647012298717,1,0.026234647012298717,1,0.026234647012298717
SOL,2023-07-16,24,-8.239936510889834e-17,5.7042688768405755e-9,1,0,0.011416103152750583,2,1,-8.239936510889834e-17,1,-8.239936510889834e-17,1,-8.239936510889834e-17
SOL,2023-07-17,24,-0.020262251506768518,5.475130657946711e-9,1,0,0.011424307230878747,2,1,-0.020262251506768518,1,-0.020262251506768518,1,-0.020262251506768518
SOL,2023-07-18,24,-0.04998179311806602,5.4026881043219925e-9,1,0,0.01149066900743478,2,1,-0.04998179311806602,1,-0.04998179311806602,1,-0.04998179311806602
SOL,2023-07-19,24,0.029300476947782768,5.329183115941023e-9,1,0,0.011603798636882327,2,1,0.029300476947782768,1,0.029300476947782768,1,0.029300476947782768
SOL,2023-07-20,24,-0.037550376419924744,5.341615894696919e-9,1,0,0.011723491898054795,2,1,-0.037550376419924744,1,-0.037550376419924744,1,-0.037550376419924744
