asset,variant,w_low,cost_type,n_obs,ann_ret_cagr,ann_ret_arith,ann_vol,sharpe_naive,sharpe_hac,max_dd,skew,turnover_annual,detection_power,detection_underpowered_hd,detection_min_n_years,detection_verdict,fixed_threshold_used,fixed_threshold_underpowered
BTC,complement_w0.50,0.5,gross,95411,0.6163561170604552,0.48017430528921795,1.1593492021937115,0.4141757327133498,0.5501480820955597,-0.9148538221018365,-1.2283897726412185,9.08951798010732,0.3905185528982121,TRUE,36.04128661391637,UNDERPOWERED,0.75,TRUE
BTC,complement_w0.50,0.5,net,95411,0.5786050203487023,0.45654155854094763,1.1594850454086942,0.393745102921984,0.5229752613123645,-0.9155153788639805,-1.2402005737406754,9.08951798010732,0.3648991566511708,TRUE,39.878527636644876,UNDERPOWERED,0.75,TRUE
BTC,volsizing_w0.50,0.5,gross,95411,0.5026989916829414,0.4072628190457484,0.7520605286374464,0.5415293098596878,0.6251754335884303,-0.7841134283798952,-0.6367676949155965,2.01989288446959,0.5565897908849252,TRUE,21.082721456154626,UNDERPOWERED,0.75,TRUE
BTC,volsizing_w0.50,0.5,net,95411,0.49482792150581667,0.4020110975461301,0.752054812880041,0.5345502623759609,0.6169420103298564,-0.7866245823710781,-0.6369945586385515,2.01989288446959,0.5474796721638009,TRUE,21.636820826353784,UNDERPOWERED,0.75,TRUE
BTC,overlay_w0.75,0.75,gross,95411,0.5433238622151346,0.4339384426175477,0.8376941829947439,0.5180153466820366,0.6128751526286575,-0.8392265843709853,-0.37064748028104727,2.3412394797259486,0.5258044482227898,TRUE,23.04014161728487,UNDERPOWERED,0.75,TRUE
BTC,overlay_w0.75,0.75,net,95411,0.5339578416959845,0.4278512199702651,0.837702394285905,0.5107436995390047,0.6042250338166929,-0.8392265843709853,-0.37176651032499297,2.3412394797259486,0.5162441282216547,TRUE,23.70087054382325,UNDERPOWERED,0.75,TRUE
BTC,complement_w0.75,0.75,gross,95411,0.5769856029232234,0.4555151785309953,0.9637570675898252,0.47264522756772404,0.5916483655140364,-0.8633586073051384,-0.7317336738542799,3.09104820199075,0.46612891304680504,TRUE,27.67575424863292,UNDERPOWERED,0.75,TRUE
BTC,complement_w0.75,0.75,net,95411,0.5643625945584512,0.44747845320582386,0.9637836659197532,0.46429346027439516,0.581161611724932,-0.8637134134782458,-0.7348164926230117,3.09104820199075,0.4551868157555434,TRUE,28.680374700651004,UNDERPOWERED,0.75,TRUE
BTC,volsizing_w0.75,0.75,gross,95411,0.5299334184413198,0.42522421709881547,0.8101744829863239,0.5248551096443178,0.620353334792902,-0.8076778643421163,-0.5589897996129399,1.0558530986986356,0.5347835058367311,TRUE,22.443552332063224,UNDERPOWERED,0.75,TRUE
BTC,volsizing_w0.75,0.75,net,95411,0.5257391772829334,0.4224789990421966,0.8101652475475745,0.5214726258884461,0.6162574380698667,-0.8086753437534152,-0.5592184712430206,1.0558530986986356,0.5303449988409157,TRUE,22.735651091302447,UNDERPOWERED,0.75,TRUE
