"name","time"
"etf_params","2026-08-06T20:57:07Z"
"eur_caption","2026-08-18T19:31:42Z"
"eur_ciss_regime","2026-08-25T18:12:02Z"
"eur_ciss_results","2026-08-25T18:12:52Z"
"eur_comparison","2026-08-25T18:38:20Z"
"eur_daily","2026-08-18T19:31:15Z"
"eur_ff_regression","2026-08-25T18:12:54Z"
"eur_params","2026-08-18T19:30:39Z"
"eur_results","2026-08-25T18:12:52Z"
"ev_caption","2026-08-18T19:30:45Z"
"ev_data","2026-08-25T18:09:03Z"
"ev_metrics","2026-08-18T18:01:38Z"
"ev_params","2026-06-16T07:13:45Z"
"ev_portfolios","2026-06-16T07:16:36Z"
"ev_underperformance_periods","2026-08-18T19:30:42Z"
"fals_avoid_worst_input","2026-05-13T16:42:25Z"
"fals_cmr_input","2026-08-26T09:51:56Z"
"fals_cmr_summary","2026-08-26T09:52:06Z"
"fals_delta_z","2026-08-25T18:38:29Z"
"fals_drif_input","2026-06-13T18:18:57Z"
"fals_dsr_avoid_worst","2026-08-25T18:12:55Z"
"fals_dsr_cmr_1m","2026-08-26T09:51:59Z"
"fals_dsr_cmr_3m","2026-08-26T09:51:56Z"
"fals_dsr_cmr_6m","2026-08-26T09:52:02Z"
"fals_dsr_drif","2026-08-25T18:13:01Z"
"fals_dsr_fac_max","2026-08-25T18:12:47Z"
"fals_dsr_ltr","2026-08-25T18:12:08Z"
"fals_dsr_rsc","2026-08-25T18:38:20Z"
"fals_dsr_tom","2026-08-25T18:12:48Z"
"fals_fac_max_input","2026-06-13T17:00:32Z"
"fals_factors","2026-08-25T18:08:59Z"
"fals_ff_avoid_worst","2026-08-25T18:12:54Z"
"fals_ff_drif","2026-08-25T18:13:00Z"
"fals_ff_fac_max","2026-08-25T18:12:47Z"
"fals_ff_ltr","2026-08-25T18:12:08Z"
"fals_ff_rsc","2026-08-25T18:38:20Z"
"fals_ff_tom","2026-08-25T18:12:48Z"
"fals_fn_avoid_worst","2026-08-25T18:12:55Z"
"fals_fn_cmr_1m","2026-08-26T09:52:00Z"
"fals_fn_cmr_3m","2026-08-26T09:51:57Z"
"fals_fn_cmr_6m","2026-08-26T09:52:03Z"
"fals_fn_drif","2026-08-25T18:13:01Z"
"fals_fn_fac_max","2026-08-25T18:12:47Z"
"fals_fn_ltr","2026-08-25T18:12:08Z"
"fals_fn_rsc","2026-08-25T18:38:20Z"
"fals_fn_tom","2026-08-25T18:12:48Z"
"fals_garch_avoid_worst","2026-08-25T18:12:55Z"
"fals_garch_cmr_1m","2026-08-26T09:52:01Z"
"fals_garch_cmr_3m","2026-08-26T09:51:58Z"
"fals_garch_cmr_6m","2026-08-26T09:52:04Z"
"fals_garch_drif","2026-08-25T18:13:01Z"
"fals_garch_fac_max","2026-08-25T18:12:47Z"
"fals_garch_ltr","2026-08-25T18:12:09Z"
"fals_garch_rsc","2026-08-25T18:38:21Z"
"fals_garch_tom","2026-08-25T18:12:49Z"
"fals_gjr_avoid_worst","2026-08-25T18:12:56Z"
"fals_gjr_cmr_1m","2026-08-26T09:52:00Z"
"fals_gjr_cmr_3m","2026-08-26T09:51:57Z"
"fals_gjr_cmr_6m","2026-08-26T09:52:03Z"
"fals_gjr_drif","2026-08-25T18:13:00Z"
"fals_gjr_fac_max","2026-08-25T18:12:47Z"
"fals_gjr_ltr","2026-08-25T18:12:09Z"
"fals_gjr_rsc","2026-08-25T18:38:21Z"
"fals_gjr_tom","2026-08-25T18:12:50Z"
"fals_hac_avoid_worst","2026-08-25T18:12:56Z"
"fals_hac_cmr_1m","2026-08-26T09:51:59Z"
"fals_hac_cmr_3m","2026-08-26T09:51:56Z"
"fals_hac_cmr_6m","2026-08-26T09:52:02Z"
"fals_hac_drif","2026-08-25T18:13:01Z"
"fals_hac_fac_max","2026-08-25T18:12:47Z"
"fals_hac_ltr","2026-08-25T18:12:09Z"
"fals_hac_rsc","2026-08-25T18:38:22Z"
"fals_hac_tom","2026-08-25T18:12:50Z"
"fals_keff","2026-08-25T18:38:20Z"
"fals_ltr_input","2026-08-17T15:24:12Z"
"fals_ma1_avoid_worst","2026-08-25T18:12:56Z"
"fals_ma1_cmr_1m","2026-08-26T09:52:01Z"
