"ym","spearman_rho","pair","date"
"2015-05",1,"Baseline vs B",2015-05-15
"2015-07",1,"Baseline vs B",2015-07-15
"2015-08",1,"Baseline vs B",2015-08-15
"2015-09",1,"Baseline vs B",2015-09-15
"2015-10",1,"Baseline vs B",2015-10-15
"2015-11",1,"Baseline vs B",2015-11-15
"2016-01",1,"Baseline vs B",2016-01-15
"2016-04",1,"Baseline vs B",2016-04-15
"2016-05",1,"Baseline vs B",2016-05-15
"2016-06",1,"Baseline vs B",2016-06-15
"2016-07",1,"Baseline vs B",2016-07-15
"2016-09",1,"Baseline vs B",2016-09-15
"2016-10",1,"Baseline vs B",2016-10-15
"2016-11",1,"Baseline vs B",2016-11-15
"2016-12",1,"Baseline vs B",2016-12-15
"2017-01",1,"Baseline vs B",2017-01-15
"2017-04",1,"Baseline vs B",2017-04-15
"2017-06",1,"Baseline vs B",2017-06-15
"2017-07",1,"Baseline vs B",2017-07-15
"2017-09",1,"Baseline vs B",2017-09-15
"2017-11",1,"Baseline vs B",2017-11-15
"2017-12",1,"Baseline vs B",2017-12-15
"2018-02",1,"Baseline vs B",2018-02-15
"2018-04",1,"Baseline vs B",2018-04-15
"2018-05",1,"Baseline vs B",2018-05-15
"2018-06",1,"Baseline vs B",2018-06-15
"2018-07",1,"Baseline vs B",2018-07-15
"2018-08",1,"Baseline vs B",2018-08-15
"2018-09",1,"Baseline vs B",2018-09-15
"2018-11",1,"Baseline vs B",2018-11-15
"2018-12",1,"Baseline vs B",2018-12-15
"2019-02",1,"Baseline vs B",2019-02-15
"2019-04",1,"Baseline vs B",2019-04-15
"2019-05",1,"Baseline vs B",2019-05-15
"2019-06",1,"Baseline vs B",2019-06-15
"2019-08",1,"Baseline vs B",2019-08-15
"2019-09",1,"Baseline vs B",2019-09-15
"2019-11",1,"Baseline vs B",2019-11-15
"2020-01",1,"Baseline vs B",2020-01-15
"2020-02",1,"Baseline vs B",2020-02-15
"2020-04",1,"Baseline vs B",2020-04-15
"2020-05",1,"Baseline vs B",2020-05-15
"2020-07",1,"Baseline vs B",2020-07-15
"2020-08",1,"Baseline vs B",2020-08-15
"2020-09",1,"Baseline vs B",2020-09-15
"2020-10",1,"Baseline vs B",2020-10-15
"2020-11",1,"Baseline vs B",2020-11-15
"2021-01",1,"Baseline vs B",2021-01-15
"2021-04",1,"Baseline vs B",2021-04-15
"2021-05",1,"Baseline vs B",2021-05-15
"2021-07",1,"Baseline vs B",2021-07-15
"2021-08",1,"Baseline vs B",2021-08-15
"2021-09",1,"Baseline vs B",2021-09-15
"2021-10",1,"Baseline vs B",2021-10-15
"2021-11",1,"Baseline vs B",2021-11-15
"2021-12",1,"Baseline vs B",2021-12-15
"2022-01",1,"Baseline vs B",2022-01-15
"2022-04",1,"Baseline vs B",2022-04-15
"2022-06",1,"Baseline vs B",2022-06-15
"2022-07",1,"Baseline vs B",2022-07-15
"2022-09",1,"Baseline vs B",2022-09-15
"2022-10",1,"Baseline vs B",2022-10-15
"2022-11",1,"Baseline vs B",2022-11-15
"2022-12",1,"Baseline vs B",2022-12-15
"2023-01",1,"Baseline vs B",2023-01-15
"2023-04",1,"Baseline vs B",2023-04-15
"2023-06",1,"Baseline vs B",2023-06-15
"2023-07",1,"Baseline vs B",2023-07-15
"2023-09",1,"Baseline vs B",2023-09-15
"2023-11",1,"Baseline vs B",2023-11-15
"2023-12",1,"Baseline vs B",2023-12-15
"2024-02",1,"Baseline vs B",2024-02-15
"2024-05",1,"Baseline vs B",2024-05-15
"2024-06",1,"Baseline vs B",2024-06-15
"2024-08",1,"Baseline vs B",2024-08-15
"2024-09",1,"Baseline vs B",2024-09-15
"2024-11",1,"Baseline vs B",2024-11-15
"2025-01",1,"Baseline vs B",2025-01-15
"2025-04",1,"Baseline vs B",2025-04-15
"2025-05",1,"Baseline vs B",2025-05-15
"2025-06",1,"Baseline vs B",2025-06-15
"2025-08",1,"Baseline vs B",2025-08-15
"2025-09",1,"Baseline vs B",2025-09-15
"2025-10",1,"Baseline vs B",2025-10-15
"2025-11",1,"Baseline vs B",2025-11-15
"2026-01",1,"Baseline vs B",2026-01-15
"2026-04",1,"Baseline vs B",2026-04-15
"1995-11",1,"A vs B",1995-11-15
"1996-04",1,"A vs B",1996-04-15
"1996-05",1,"A vs B",1996-05-15
"1996-06",1,"A vs B",1996-06-15
"1996-08",1,"A vs B",1996-08-15
"1996-09",1,"A vs B",1996-09-15
"1996-11",1,"A vs B",1996-11-15
"1997-01",1,"A vs B",1997-01-15
"1997-02",1,"A vs B",1997-02-15
